Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Botswana,138,65.94%,91,71.01%,2.64,00:02:57,0.00%,0,$0.00
South Africa,26,88.46%,23,46.15%,3.92,00:03:54,0.00%,0,$0.00
United States,18,100.00%,18,72.22%,1.56,00:00:31,0.00%,0,$0.00
India,11,72.73%,8,72.73%,1.64,00:00:35,0.00%,0,$0.00
Zimbabwe,9,77.78%,7,77.78%,1.56,00:01:16,0.00%,0,$0.00
(not set),6,100.00%,6,66.67%,1.33,00:00:15,0.00%,0,$0.00
United Kingdom,5,100.00%,5,20.00%,11.80,00:25:37,0.00%,0,$0.00
Russia,5,100.00%,5,60.00%,1.80,00:01:03,0.00%,0,$0.00
Singapore,5,40.00%,2,20.00%,9.60,00:09:52,0.00%,0,$0.00
France,4,100.00%,4,75.00%,1.25,00:00:01,0.00%,0,$0.00
Kenya,4,100.00%,4,25.00%,11.25,00:12:51,0.00%,0,$0.00
Netherlands,4,100.00%,4,75.00%,1.25,00:01:56,0.00%,0,$0.00
United Arab Emirates,3,33.33%,1,0.00%,3.67,00:03:58,0.00%,0,$0.00
Switzerland,3,100.00%,3,0.00%,4.67,00:01:57,0.00%,0,$0.00
Montenegro,3,33.33%,1,33.33%,3.00,00:01:16,0.00%,0,$0.00
Germany,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Spain,2,100.00%,2,50.00%,21.00,00:19:05,0.00%,0,$0.00
Hong Kong,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Malawi,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nigeria,2,100.00%,2,50.00%,2.00,00:00:57,0.00%,0,$0.00
New Zealand,2,100.00%,2,50.00%,2.00,00:00:33,0.00%,0,$0.00
Palestine,2,50.00%,1,50.00%,2.50,00:00:28,0.00%,0,$0.00
Turkey,2,100.00%,2,50.00%,5.00,00:01:13,0.00%,0,$0.00
Zambia,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Angola,1,100.00%,1,0.00%,3.00,00:25:07,0.00%,0,$0.00
Argentina,1,100.00%,1,0.00%,9.00,00:24:49,0.00%,0,$0.00
Australia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bangladesh,1,100.00%,1,0.00%,4.00,00:01:05,0.00%,0,$0.00
Bulgaria,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ghana,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Greece,1,100.00%,1,0.00%,5.00,00:06:59,0.00%,0,$0.00
Israel,1,100.00%,1,0.00%,11.00,00:11:19,0.00%,0,$0.00
Iran,1,100.00%,1,0.00%,2.00,00:00:19,0.00%,0,$0.00
Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
South Korea,1,100.00%,1,0.00%,6.00,00:07:02,0.00%,0,$0.00
Latvia,1,100.00%,1,0.00%,2.00,00:00:10,0.00%,0,$0.00
Pakistan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tajikistan,1,100.00%,1,0.00%,8.00,00:02:27,0.00%,0,$0.00
Tunisia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tanzania,1,100.00%,1,0.00%,6.00,00:21:48,0.00%,0,$0.00
Uganda,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Vietnam,1,100.00%,1,0.00%,3.00,00:02:40,0.00%,0,$0.00
,280,76.79%,215,62.50%,3.14,00:03:23,0.00%,0,$0.00
