Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Botswana,"3,879",60.40%,"2,343",55.50%,3.4,0:04:53,0.00%,0,$0.00 
South Africa,692,77.75%,538,51.59%,3.76,0:04:19,0.00%,0,$0.00 
United States,230,91.74%,211,80.43%,1.9,0:01:15,0.00%,0,$0.00 
India,193,66.84%,129,61.66%,2.15,0:02:24,0.00%,0,$0.00 
United Kingdom,186,81.18%,151,68.28%,2.84,0:02:52,0.00%,0,$0.00 
Zimbabwe,74,75.68%,56,67.57%,1.82,0:03:06,0.00%,0,$0.00 
Germany,73,54.79%,40,45.21%,5.75,0:07:25,0.00%,0,$0.00 
(not set),68,85.29%,58,63.24%,2.47,0:03:48,0.00%,0,$0.00 
Netherlands,62,79.03%,49,72.58%,2,0:01:47,0.00%,0,$0.00 
Kenya,44,88.64%,39,70.45%,2.59,0:02:32,0.00%,0,$0.00 
Namibia,36,94.44%,34,69.44%,1.78,0:01:34,0.00%,0,$0.00 
Malawi,35,62.86%,22,65.71%,1.89,0:02:47,0.00%,0,$0.00 
Australia,33,72.73%,24,60.61%,2.76,0:03:31,0.00%,0,$0.00 
Poland,31,32.26%,10,90.32%,1.39,0:00:40,0.00%,0,$0.00 
Singapore,30,50.00%,15,26.67%,4.93,0:07:28,0.00%,0,$0.00 
Russia,29,93.10%,27,62.07%,1.86,0:02:00,0.00%,0,$0.00 
Zambia,28,89.29%,25,53.57%,2.57,0:02:33,0.00%,0,$0.00 
Belgium,27,81.48%,22,59.26%,2.85,0:02:00,0.00%,0,$0.00 
Switzerland,26,80.77%,21,65.38%,2.69,0:02:12,0.00%,0,$0.00 
Spain,25,84.00%,21,64.00%,3.4,0:02:23,0.00%,0,$0.00 
Nigeria,24,95.83%,23,75.00%,2.12,0:01:45,0.00%,0,$0.00 
Turkey,24,91.67%,22,66.67%,2,0:01:15,0.00%,0,$0.00 
Japan,23,91.30%,21,47.83%,2.83,0:06:28,0.00%,0,$0.00 
South Korea,19,73.68%,14,73.68%,2.26,0:01:17,0.00%,0,$0.00 
Angola,18,27.78%,5,66.67%,1.94,0:06:42,0.00%,0,$0.00 
France,18,83.33%,15,33.33%,2.89,0:01:39,0.00%,0,$0.00 
Philippines,18,66.67%,12,38.89%,4.11,0:07:26,0.00%,0,$0.00 
United Arab Emirates,15,80.00%,12,60.00%,2.13,0:03:30,0.00%,0,$0.00 
Hong Kong,15,60.00%,9,53.33%,3.93,0:03:21,0.00%,0,$0.00 
Pakistan,15,100.00%,15,80.00%,1.27,0:00:14,0.00%,0,$0.00 
Brazil,14,100.00%,14,78.57%,1.36,0:01:32,0.00%,0,$0.00 
Canada,14,100.00%,14,57.14%,2.86,0:04:47,0.00%,0,$0.00 
Israel,14,78.57%,11,35.71%,3.71,0:04:18,0.00%,0,$0.00 
Malaysia,13,76.92%,10,46.15%,2.85,0:02:11,0.00%,0,$0.00 
Tanzania,13,69.23%,9,69.23%,2.69,0:03:24,0.00%,0,$0.00 
Lesotho,12,100.00%,12,66.67%,1.67,0:01:30,0.00%,0,$0.00 
Mozambique,12,66.67%,8,66.67%,1.58,0:00:25,0.00%,0,$0.00 
Ghana,11,72.73%,8,36.36%,4.91,0:09:17,0.00%,0,$0.00 
